-47.359, 46.877, 100
-47.354, 44.877, 100
-47.348, 42.877, 100
-47.342, 40.877, 100
-47.337, 38.877, 100
-47.331, 36.877, 100
-47.326, 34.877, 100
-47.32, 32.877, 100
-47.315, 30.877, 100
-47.309, 28.877, 100
-47.303, 26.877, 100
-47.298, 24.877, 100
-47.292, 22.877, 100
-47.287, 20.877, 100
-47.281, 18.877, 100
-47.275, 16.877, 100
-47.27, 14.877, 100
-47.264, 12.877, 100
-47.259, 10.877, 100
-47.253, 8.877, 100
-47.247, 6.877, 100
-47.242, 4.877, 100
-47.236, 2.877, 100
-47.231, 0.877, 100
-47.225, -1.123, 100
-47.219, -3.123, 100
-47.214, -5.123, 100
-47.208, -7.123, 100
-47.203, -9.123, 100
-47.197, -11.123, 100
-47.191, -13.123, 100
-47.186, -15.123, 97.693
-47.18, -17.123, 95.058
-47.175, -19.123, 92.347
-47.169, -21.123, 89.554
-47.164, -23.123, 86.672
-47.158, -25.123, 83.69
-47.152, -27.123, 80.598
-47.147, -29.123, 77.382
-47.141, -31.123, 74.027
-47.136, -33.123, 70.512
-47.13, -35.123, 66.813
-47.124, -37.123, 62.897
-47.119, -39.123, 58.72
-47.113, -41.123, 54.222
-47.108, -43.123, 49.315
-47.102, -45.123, 43.863
-47.096, -47.123, 37.63
-47.091, -49.123, 30.133
-47.085, -51.123, 20
-47.082, -52.11, 0
-47.082, -52.11, 0
-47.027, -72.11, 0
endData
127
100
200
-47.359, 46.877, -47.221, -2.617, -47.221, -2.617, -47.082, -52.11
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":16,"robotHeight":16,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2025 - High Stakes","signature":"V5RC 2025 - High Stakes","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"5CzYQAgYrT","x":-47.35925605753741,"y":46.87682817654737,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"IS79nwLphf","x":-47.082436258065464,"y":-52.11021652106891,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"AlhKnQAIYP"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"YrdEr64mAU","lock":false,"visible":true}]}
